RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2654914	-3663829	66.116667	-18.333333	660700	-182000	27WXP2044835478	NQ27-06	T	RK		IC	32					V				THYSTLINGRUND	Þystlingrund	Thystlingrund	1994-01-14
1	-2652873	-3661574	64.566667	-14.516667	643400	-143100	28WES2316160250	NQ27-16	T	RK		IC	31					N				SKELJATEIGUR	Skeljateigur	Skeljateigur	1994-01-14
1	-2646418	-3654418	65.8	-19.35	654800	-192100	27WWN7546798609	NQ27-10	H	STM		IC	28					N				HJALTADALSA	Hjaltadalsá	Hjaltadalsa	1994-01-14
1	-2645470	-3654361	63.966667	-22.6	635800	-223600	27VVL2165494283	NP27-01	T	HLL		IC	10					V				HIERLITTI	Hierlitti	Hierlitti	1994-01-14
1	-2645462	-3653365	64.766667	-23.766667	644600	-234600	27WUM6842985325	NQ27-13	T	LAVA		IC	29					N				HAAHRAUN	Háahraun	Haahraun	1994-01-14
1	-2642873	-3650508	64.95	-14.033333	645700	-140200	28WET4566903231	NQ27-16	V	HTH		IC	31					N				BUDHAHEIDHI	Búðaheiði	Budhaheidhi	1994-01-14
1	-2648715	-3656947	65.933333	-23.55	655600	-233300	27WUP8398814837	NQ27-09	S	FRM		IC	36					N				KLUKKULAND	Klukkuland	Klukkuland	1994-01-14
1	-2655114	-3664044	64.6	-15.183333	643600	-151100	28WDS9122663889	NQ27-15	T	PK		IC	06					V				TROLLAKROKAHNAUS	Tröllakrókahnaus	Trollakrokahnaus	1994-01-14
1	-2654003	-3662823	65.533333	-14	653200	-140000	28WET4621368263	NQ27-12	T	MT		IC	20					N				SULUR	Súlur	Sulur	1994-01-14
1	-2654741	-3663644	65.533333	-21.5	653200	-213000	27WVN7689367987	NQ27-10	T	VAL		IC	30					N				THRUDHARDALUR	Þruðardalur	Thrudhardalur	1994-01-14
1	-2651137	-3659600	65.583333	-14.15	653500	-140900	28WET3920673733	NQ27-12	L	GRAZ		IC	20					N				NYIAGRAS	Nýiagras	Nyiagras	1994-01-14
1	-2650885	-3659306	63.633333	-19.966667	633800	-195800	27VWL5120256570	NP27-02	S	FRM		IC	23					N				NEDHRIDALUR	Neðridalur	Nedhridalur	1994-01-14
1	-2652395	-3661029	65.85	-19.116667	655100	-190700	27WWP8596904480	NQ27-10	T	VAL		IC	28					N				SELJADALUR	Seljadalur	Seljadalur	1994-01-14
1	-2641703	-3651470	65.75	-19.416667	654500	-192500	27WWN7255992959	NQ27-10	H	STMD		IC	28					V				EYSTRIHJERADHSVOTN	Eystri Hjeraðsvötn	Eystri Hjeradhsvotn	1994-01-14
1	-2641563	-3649043	66.166667	-21.75	661000	-214500	27WVP6618338690	NQ27-05	H	RF		IC	30					N				ARSKER	Ársker	Arsker	1994-01-14
1	-2645524	-3653432	64.583333	-19.633333	643500	-193800	27WWM6544662724	NQ27-14	H	BOG		IC	00					N				HAENSNAVER	Hænsnaver	Haensnaver	1994-01-14
1	-2650286	-3658665	65.383333	-16.733333	652300	-164400	28WDT1944352285	NQ27-11	T	HLL		IC	32					N				MIDHALDA	Miðalda	Midhalda	1994-01-14
1	-2651786	-3660359	65.9	-22.45	655400	-222700	27WVP3393709527	NQ27-09	S	FRM		IC	36					N				REYKJARFJORDHUR	Reykjarfjörður	Reykjarfjordhur	1994-01-14
1	-2653295	-3662038	64.483333	-19.8	642900	-194800	27WWM5767651420	NQ27-14	H	STM		IC	03					V				SNIDHBJARGARGIL	Sniðbjargargil	Snidhbjargargil	1994-01-14
1	-2648182	-3656377	64.066667	-18.35	640400	-182100	27WXM2928007132	NQ27-14	H	LK		IC	00					N				KAMBAVATN	Kambavatn	Kambavatn	1994-01-14
